"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Feb 23 15:52:46 GMT 2023","Thu Feb 23 15:53:24 GMT 2023","37834","Add User","1.1 Org Admin","","","","1.1.2. add user with required fields only",""
"passed","Thu Feb 23 15:46:59 GMT 2023","Thu Feb 23 15:47:07 GMT 2023","7872","","Add Notes - Org1","","","","A.N_3. Add Note to Person",""
"failed","Thu Feb 23 15:31:29 GMT 2023","Thu Feb 23 15:32:33 GMT 2023","64144","Add Case","5. --- with Default Case Number in Office ","","","","5.1 verify Office Default Case Number Prefix",""
"passed","Thu Feb 23 15:39:03 GMT 2023","Thu Feb 23 15:39:39 GMT 2023","36167","Add Item","1. Org Admin","","","","1.2. Optional fields disabled -- redirect to View Added Item -- Item Belongs To Shows All People"" turned OFF in Org Settings -- multiple values selected for ""Item Belongs to"" and Tags",""
"passed","Thu Feb 23 16:06:23 GMT 2023","Thu Feb 23 16:06:26 GMT 2023","2741","","Chain of Custody","","","","CoC_1. New Item Entry",""
"passed","Thu Feb 23 15:27:15 GMT 2023","Thu Feb 23 15:27:32 GMT 2023","16396","Add Case","1. --- No Case Number formatting in Org/Office, AutoDispo ON","","","","1.4 Org Admin-- minimum case fields -- redirect to Add Person page",""
"passed","Thu Feb 23 15:31:00 GMT 2023","Thu Feb 23 15:31:16 GMT 2023","16170","Add Case","4. --- with Default Case Number in Org ","","","","4.2 verify Org Default Case Number Prefix, keep a default value as part of the Case Number",""
"passed","Thu Feb 23 15:50:07 GMT 2023","Thu Feb 23 15:50:24 GMT 2023","16999","Add Task","1.1 Org Admin","","","","1.1.2. Add task assigned to 1 User and check email notification with more Task details",""
"passed","Thu Feb 23 15:47:51 GMT 2023","Thu Feb 23 15:48:05 GMT 2023","13768","Add Person","1. Org Admin","","","","1.2. Optional fields disabled -- First & Last Name populated -- redirect to Add Person page again",""
"passed","Thu Feb 23 16:04:06 GMT 2023","Thu Feb 23 16:04:18 GMT 2023","12265","","Auto-Disposition","","","","2. Verify validation message for Follow Up Days",""
"passed","Thu Feb 23 15:40:55 GMT 2023","Thu Feb 23 15:41:14 GMT 2023","18335","Add Item","1. Org Admin","","","","1.7. Add Item from Person View/ ""Items Belonging to"" tab -- redirect to Add Duplicate Item page and complete the action",""
"passed","Thu Feb 23 15:27:49 GMT 2023","Thu Feb 23 15:28:06 GMT 2023","16688","Add Case","1. --- No Case Number formatting in Org/Office, AutoDispo ON","","","","1.6 Org Admin-- minimum case fields -- redirect to Notes tab on Case View page",""
"skipped","Thu Feb 23 16:04:18 GMT 2023","Thu Feb 23 16:04:18 GMT 2023","2","","Auto-Disposition","","","","3.4 Verify ""View X Cases"" functionality",""
"passed","Thu Feb 23 15:34:38 GMT 2023","Thu Feb 23 15:35:09 GMT 2023","30311","Add Case","8. --- with required Custom Form but not filled out, all optional fields on Form","","","","8.1 verify that required custom form is attached to the case with blank fields",""
"passed","Thu Feb 23 15:47:07 GMT 2023","Thu Feb 23 15:47:14 GMT 2023","6616","","Add Notes - Org1","","","","A.N_4. Add Note to Task",""
"passed","Thu Feb 23 16:10:28 GMT 2023","Thu Feb 23 16:11:19 GMT 2023","51396","","Edit Item","","","","1. Edit and verify all values on Item View page -- replace the current values in multiselect fields - Tags & Item Belongs To",""
"passed","Thu Feb 23 15:42:21 GMT 2023","Thu Feb 23 15:42:55 GMT 2023","34255","Add Item","3 Add Item with Custom Form","","","","3.1 --- with required Custom Form filled out, all required fields on Form",""
"passed","Thu Feb 23 16:08:27 GMT 2023","Thu Feb 23 16:08:40 GMT 2023","12701","","Edit Case","","","","4.  Case Number Formatting at Org level -- old case that was saved without formatting can be edited without changing Case Number or changing it with proper format",""
"passed","Thu Feb 23 15:38:25 GMT 2023","Thu Feb 23 15:39:03 GMT 2023","37338","Add Item","1. Org Admin","","","","1.1 All fields enabled -- ""Item Belongs To Shows All People"" turned ON in Org Settings -- multiple people not linked to Primary Case are selected in ""Item Belongs to"" field ",""
"passed","Thu Feb 23 15:48:19 GMT 2023","Thu Feb 23 15:48:45 GMT 2023","25611","Add Person","2. Power User -- all permissions in Office","","","","2.1. verify that user can add all values",""
"passed","Thu Feb 23 16:13:07 GMT 2023","Thu Feb 23 16:13:16 GMT 2023","9130","","Edit Item","","","","5. Add an Item with disabled non required / required fields & check if those are shown up on Item Edit page after enabling",""
"passed","Thu Feb 23 16:18:51 GMT 2023","Thu Feb 23 16:19:16 GMT 2023","24871","","Item Transactions & Actions","","","","2. Verify Transfer transaction and enabled/disabled actions for Checked Out item",""
"passed","Thu Feb 23 16:12:51 GMT 2023","Thu Feb 23 16:13:06 GMT 2023","15025","","Edit Item","","","","4. Edit and verify reduced number of values on Item View page ",""
"passed","Thu Feb 23 16:15:40 GMT 2023","Thu Feb 23 16:17:16 GMT 2023","95881","","Edit User","","","","1 Edit newly added user, change all values, verify on the grid, and check all/active/inactive filters",""
"passed","Thu Feb 23 15:39:39 GMT 2023","Thu Feb 23 15:40:01 GMT 2023","21225","Add Item","1. Org Admin","","","","1.3. Add Item from Case View /Items tab -- redirect to Add Item page again",""
"passed","Thu Feb 23 15:41:14 GMT 2023","Thu Feb 23 15:41:35 GMT 2023","21130","Add Item","1. Org Admin","","","","1.8. Add Item from Person View/ Items Custodian tab -- redirect to Split Item page and complete the action",""
"passed","Thu Feb 23 15:41:35 GMT 2023","Thu Feb 23 15:41:58 GMT 2023","22986","Add Item","1. Org Admin","","","","1.9. Only active people should show up in ""Recovered By"" field when searching by first/middle/last name or email",""
"passed","Thu Feb 23 16:09:29 GMT 2023","Thu Feb 23 16:09:40 GMT 2023","10909","","Edit Case","","","","8. Add a Case with disabled fields & check if required fields are displayed properly on Case Edit page after enabling",""
"passed","Thu Feb 23 16:09:02 GMT 2023","Thu Feb 23 16:09:28 GMT 2023","25655","","Edit Case","","","","7. Remove all optional values & check history records",""
"passed","Thu Feb 23 15:30:30 GMT 2023","Thu Feb 23 15:30:37 GMT 2023","6567","Add Case","3. --- with Case Number formatting in Office ","","","","3.2 verify Office Case Number Format with custom validation message",""
"skipped","Thu Feb 23 16:04:18 GMT 2023","Thu Feb 23 16:04:18 GMT 2023","2","","Auto-Disposition","","","","3.3 Verify ""Recalculate Cases to Dispose"" functionality",""
"passed","Thu Feb 23 16:08:51 GMT 2023","Thu Feb 23 16:09:02 GMT 2023","11162","","Edit Case","","","","6. Auto-Assigned Case Number -- Case Number can be edited when Auto-assigning of Case Numbers is enabled for new cases",""
"passed","Thu Feb 23 15:41:58 GMT 2023","Thu Feb 23 15:42:21 GMT 2023","22620","Add Item","2 Power User -- all permissions in Office, with and without access to Storage Location","","","","2.1 verify that user can add all values but can select only Storage Location(s) that s/he has access to",""
"passed","Thu Feb 23 15:47:31 GMT 2023","Thu Feb 23 15:47:51 GMT 2023","20169","Add Person","1. Org Admin","","","","1.1. All fields enabled -- redirect to View Added Person",""
"passed","Thu Feb 23 16:06:41 GMT 2023","Thu Feb 23 16:07:25 GMT 2023","43604","","Edit Case","","","","1. Edit and verify all values on Case View page -- replace the current values in multiselect fields (Case Officers, Tags)",""
"skipped","Thu Feb 23 16:04:18 GMT 2023","Thu Feb 23 16:04:18 GMT 2023","11","","Auto-Disposition","","","","3.2 Verify ""Close X Cases"" functionality",""
"passed","Thu Feb 23 15:26:01 GMT 2023","Thu Feb 23 15:26:36 GMT 2023","35096","Add Case","1. --- No Case Number formatting in Org/Office, AutoDispo ON","","","","1.1 Org Admin-- All fields enabled -- redirect to View Added Case",""
"passed","Thu Feb 23 15:40:24 GMT 2023","Thu Feb 23 15:40:39 GMT 2023","15236","Add Item","1. Org Admin","","","","1.5. Add item from Scan page -- redirect to Item View/Media tab",""
"passed","Thu Feb 23 15:31:16 GMT 2023","Thu Feb 23 15:31:26 GMT 2023","10511","Add Case","4. --- with Default Case Number in Org ","","","","4.3 verify Org Default Case Number Prefix and Org Formatting pattern, before and after page reload",""
"passed","Thu Feb 23 15:28:06 GMT 2023","Thu Feb 23 15:28:57 GMT 2023","51555","Add Case","1. --- No Case Number formatting in Org/Office, AutoDispo ON","","","","1.7 Power User can add case and view/enter/update Review Date/Notes when having AutoDispo permissions",""
"passed","Thu Feb 23 16:08:04 GMT 2023","Thu Feb 23 16:08:26 GMT 2023","22088","","Edit Case","","","","3. Edit and verify reduced number of values on Case View page -- enter User Group instead of User as Case Officer",""
"passed","Thu Feb 23 15:43:15 GMT 2023","Thu Feb 23 15:43:28 GMT 2023","13781","Add Item","3 Add Item with Custom Form","","","","3.3 --- with required Currency Form attached - System Template",""
"passed","Thu Feb 23 16:15:09 GMT 2023","Thu Feb 23 16:15:16 GMT 2023","6445","","Edit Person","","","","4. Add a Person with disabled fields & check if those are shown up on Person Edit page after enabling all of the rest of the fields and editing Business Name / First Name / Last Name",""
"passed","Thu Feb 23 16:08:40 GMT 2023","Thu Feb 23 16:08:51 GMT 2023","11443","","Edit Case","","","","5. Case Number Formatting at Office level -- old case that was saved without formatting can be edited without changing Case Number or changing it with proper format",""
"skipped","Thu Feb 23 15:55:02 GMT 2023","Thu Feb 23 15:55:02 GMT 2023","4","Add User","1.1 Org Admin","","","","A.U_3. Add External User",""
"passed","Thu Feb 23 16:19:16 GMT 2023","Thu Feb 23 16:19:35 GMT 2023","19215","","Item Transactions & Actions","","","","3. Verify Check Item In transaction and enabled/disabled actions for Checked In item",""
"passed","Thu Feb 23 15:56:18 GMT 2023","Thu Feb 23 15:59:23 GMT 2023","185490","Add User","1.3 --- with Custom Forms","","","","1.3.1 --- with required Custom Form filled out, all required fields on Form",""
"passed","Thu Feb 23 15:40:39 GMT 2023","Thu Feb 23 15:40:55 GMT 2023","16130","Add Item","1. Org Admin","","","","1.6. Add Item from Person View/ Items Recovered By -- redirect to Item View/ Notes tab",""
"passed","Thu Feb 23 15:40:01 GMT 2023","Thu Feb 23 15:40:23 GMT 2023","22722","Add Item","1. Org Admin","","","","1.4. Add item from Item Search -- redirect to Case View /Items tab",""
"failed","Thu Feb 23 16:19:35 GMT 2023","Thu Feb 23 16:20:08 GMT 2023","32823","","Item Transactions & Actions","","","","4. Verify Dispose transaction and enabled/disabled actions for Disposed item",""
